EpisodeID,PeakStressDate,PeakGeometryStress,PeakTransitionScore,MaxTransitionPrior5D,MaxTransitionPctPrior5D,MaxTransitionPrior10D,MaxTransitionPctPrior10D,MaxTransitionPrior20D,MaxTransitionPctPrior20D,MaxTransitionPrior40D,MaxTransitionPctPrior40D,SPY_ReturnAfter5D,SPY_WorstAfter5D,SPY_ReturnAfter10D,SPY_WorstAfter10D,SPY_ReturnAfter20D,SPY_WorstAfter20D,SPY_ReturnAfter40D,SPY_WorstAfter40D
1,2007-07-31,1.629831099,2.140057555,2.140057555,98.02631579,2.140057555,98.02631579,2.140057555,98.02631579,2.140057555,98.02631579,0.01406809649,-0.0131760187,-0.01859783062,-0.01859783062,-0.01372522336,-0.0321164994,0.04935442231,-0.0321164994
2,2007-08-16,1.676971167,0.768933359,0.6273171059,86.82634731,0.6273171059,86.82634731,2.140057555,98.02631579,2.140057555,98.02631579,0.03110483918,0.01787494676,0.02850090423,0.01140036189,0.04785362292,0.01140036189,0.1053599251,0.01140036189
3,2008-08-11,1.400256677,1.019048009,0.8051341493,93.65079365,1.359824181,98.41269841,1.359824181,98.41269841,1.359824181,98.41269841,-0.01774962936,-0.01774962936,-0.02823068905,-0.02845957883,-0.05730253401,-0.05730253401,-0.2302884579,-0.2302884579
4,2008-12-02,1.668929358,1.361130135,1.361130135,99.6031746,1.361130135,99.6031746,1.361130135,99.6031746,1.361130135,99.6031746,0.04960703007,0.0003520602034,0.07751833837,0.0003520602034,0.0668764023,0.0003520602034,-0.02072950393,-0.04744866771
5,2009-04-22,2.62802322,1.727267823,1.727267823,99.6031746,1.727267823,99.6031746,1.727267823,99.6031746,1.727267823,99.6031746,0.0337123897,0.009817957129,0.08989851833,0.009817957129,0.07061762392,0.009817957129,0.0908446647,0.009817957129
6,2009-08-31,2.566186453,2.877528615,1.548330595,98.80952381,1.548330595,98.80952381,1.548330595,98.80952381,1.548330595,98.80952381,0.004684807849,-0.02576578772,0.03181710295,-0.02576578772,0.03947742538,-0.02576578772,0.04359690364,-0.02576578772
7,2010-06-29,2.265026285,1.611197712,1.494202166,98.80952381,1.494202166,98.80952381,1.494202166,98.80952381,1.494202166,98.80952381,0.01823289619,-0.01928749987,0.05220229446,-0.01928749987,0.06352581614,-0.01928749987,0.01660149854,-0.01928749987
8,2010-08-03,2.044798128,1.541941697,1.319462054,96.82539683,1.319462054,96.82539683,1.319462054,96.82539683,1.611197712,99.20634921,0.001425831921,0.001425831921,-0.0234357068,-0.03528823362,-0.06157551397,-0.06228838478,0.02551057173,-0.06228838478
9,2010-10-01,5.722959478,5.139332543,1.84638697,99.6031746,2.494506485,100,2.494506485,100,2.494506485,100,0.01684011701,-0.007503589307,0.0269612477,-0.007503589307,0.03385426785,-0.007503589307,0.03969991968,-0.007503589307
10,2010-10-15,2.088002274,0.7694098265,0.2187518184,70.23809524,5.139332543,100,5.139332543,100,5.139332543,100,0.005522376162,-0.008241433619,0.006712054776,-0.008241433619,0.02124021148,-0.008241433619,0.05828346155,-0.008241433619
11,2011-03-25,2.319730564,1.760061844,1.241595933,93.25396825,1.241595933,93.25396825,1.241595933,93.25396825,2.225777777,98.80952381,0.0140897963,-0.002437368124,0.01188120184,-0.002437368124,0.01782187899,-0.005635948315,0.005787856768,-0.005635948315
12,2011-05-03,2.141914706,1.610020056,1.281748748,92.06349206,1.610020056,95.63492063,1.610020056,95.63492063,1.760061844,97.61904762,0.001031149357,-0.01561948715,-0.01886128354,-0.01886128354,-0.02843927877,-0.02843927877,-0.0321372227,-0.06417155006
13,2011-10-21,2.70964578,1.555582644,0.7028460136,86.50793651,0.7330267157,87.3015873,0.7330267157,87.3015873,1.56690694,95.63492063,0.03734745893,-0.007421295632,0.01218024528,-0.01589109235,-0.01605259639,-0.01605259639,-0.0235308888,-0.0615474019
14,2012-03-15,1.899755127,1.705111144,1.434349382,98.01587302,1.434349382,98.01587302,1.434349382,98.01587302,1.434349382,98.01587302,-0.00646623662,-0.00646623662,0.000885007859,-0.00646623662,-0.02116928353,-0.03002005819,-0.03208979811,-0.03208979811
15,2012-12-18,0.153224224,0.2581433779,0.5334429568,88.88888889,0.6662661988,91.26984127,0.6662661988,91.26984127,0.6662661988,91.26984127,-0.0179862432,-0.0179862432,0.009586198874,-0.02990228656,0.02531248212,-0.02990228656,0.05378515582,-0.02990228656
16,2013-01-15,2.061311759,1.89987262,1.698129652,99.6031746,1.698129652,99.6031746,1.698129652,99.6031746,1.698129652,99.6031746,0.01563877653,-0.0001359373637,0.02039892683,-0.0001359373637,0.03454122022,-0.0001359373637,0.06568303285,-0.0001359373637
17,2013-03-26,2.182842575,1.332891994,0.8886402438,96.42857143,1.242242483,98.01587302,1.242242483,98.01587302,1.242242483,98.01587302,-0.00614659987,-0.00614659987,0.01587803971,-0.00659472754,0.01082009939,-0.01312503541,0.06235962781,-0.01312503541
18,2013-04-15,2.150765761,1.116858346,0.6854616836,92.06349206,0.6854616836,92.06349206,1.332891994,99.20634921,1.332891994,99.20634921,0.006769087916,-0.006317312919,0.02694779056,-0.006317312919,0.05428064052,-0.006317312919,0.05144458293,-0.006317312919
19,2013-04-29,2.137931723,0.934969944,0.7268187583,92.46031746,1.116858346,98.41269841,1.116858346,98.41269841,1.332891994,99.20634921,0.01556738509,-0.006403473435,0.02661561787,-0.006403473435,0.04394171863,-0.006403473435,0.0006844654277,-0.008844913755
20,2013-07-01,2.366226189,0.7946393956,0.5390544749,80.55555556,0.5390544749,80.55555556,1.197351565,98.41269841,1.197351565,98.41269841,0.0233635919,-0.0009298357118,0.03817516753,-0.0009298357118,0.04480666196,-0.0009298357118,0.01220874201,-0.0009298357118
21,2014-11-12,2.420729707,1.852654741,0.7437683015,94.04761905,0.7437683015,94.04761905,1.278375763,99.6031746,1.278375763,99.6031746,0.006177596876,0.001127636943,0.01804255815,0.001127636943,0.001127636943,-0.00392232299,-0.0009390298863,-0.02966262968
22,2015-03-12,2.396275702,2.492090173,0.8420885711,95.63492063,0.8420885711,95.63492063,0.8981914272,96.03174603,2.44363298,100,0.01158845874,-0.006132243663,-0.004412247132,-0.006132243663,0.01872292596,-0.006132243663,0.0263860675,-0.006132243663
23,2015-04-06,1.272483517,0.3545259366,0.3321656652,80.55555556,0.4910594219,86.11111111,2.492090173,100,2.492090173,100,0.006062400336,-0.002646448612,0.00971913099,-0.002646448612,0.01679252087,-0.002646448612,0.01698480778,-0.002646448612
24,2015-04-15,1.173612587,0.3852959886,0.3852959886,82.53968254,0.3852959886,82.53968254,0.4910594219,86.11111111,2.492090173,100,0.0009506060269,-0.01178516895,0.0006654326384,-0.01178516895,-0.001948667352,-0.01178516895,0.005702498091,-0.01178516895
25,2015-05-08,1.839338608,1.476962347,0.7161749378,91.66666667,0.7161749378,91.66666667,0.7161749378,91.66666667,2.492090173,100,0.003875071629,-0.007749621561,0.006473689927,-0.007749621561,-0.01483807407,-0.01483807407,-0.01222998323,-0.02457572321
26,2015-06-09,4.381245409,2.024448851,0.7771145467,92.06349206,1.664586584,98.01587302,1.664586584,98.01587302,1.664586584,98.01587302,0.008635216314,0.003166169236,0.02217059773,0.003166169236,-0.01403297672,-0.01403297672,0.01267394199,-0.01403297672
27,2015-06-17,2.407134479,1.395590245,1.395590245,96.03174603,2.024448851,98.80952381,2.024448851,98.80952381,2.024448851,98.80952381,0.004434856136,0.004434856136,-0.009880202108,-0.01980502938,0.01302362942,-0.02405230154,-0.004344818874,-0.02405230154
28,2015-07-01,3.858259225,2.133453859,0.9272430887,92.46031746,0.9272430887,92.46031746,2.024448851,98.80952381,2.024448851,98.80952381,-0.01253018453,-0.0143135199,0.02313238416,-0.0143135199,0.01600001146,-0.0143135199,-0.03966248282,-0.0974939276
29,2016-07-12,2.155356359,2.176514979,1.769849234,99.6031746,1.769849234,99.6031746,1.769849234,99.6031746,1.769849234,99.6031746,0.005768759614,-0.0001393396292,0.008373960154,-0.0001393396292,0.01502692649,-0.0001393396292,0.01888834975,-0.0001393396292
30,2016-10-26,1.134185959,0.7038583246,0.7038583246,91.26984127,0.7038583246,91.26984127,0.9076633803,92.85714286,0.9076633803,92.85714286,-0.01871427081,-0.01871427081,0.0123515442,-0.02428172989,0.03256329005,-0.02428172989,0.06067393064,-0.02428172989
31,2016-11-16,2.880159924,1.360279913,1.360279913,97.22222222,1.360279913,97.22222222,1.360279913,97.22222222,1.360279913,97.22222222,0.01298962835,0.002891792339,0.007802906762,0.002891792339,0.04103352885,0.002891792339,0.0445841121,0.002891792339
32,2018-01-04,1.295437195,1.484067143,1.086214956,96.42857143,1.086214956,96.42857143,1.086214956,96.42857143,1.086214956,96.42857143,0.016604961,0.006664151374,0.03239965226,0.006664151374,0.01413799625,0.006664151374,0.002135740903,-0.05147068263
